0	1	2009-09-29
2	1	2009-09-29
0	3	2009-09-29
4	0	2009-09-29
5	6	2009-09-30
0	6	2009-09-30
7	6	2009-09-30
0	3	2009-09-30
2	6	2009-09-30
3	0	2009-09-30
8	0	2009-09-30
9	6	2009-09-30
0	10	2009-09-30
11	0	2009-10-01
0	12	2009-10-01
13	0	2009-10-01
12	8	2009-10-01
13	0	2009-10-01
13	8	2009-10-01
14	7	2009-10-02
15	0	2009-10-02
15	0	2009-10-02
0	3	2009-10-02
15	0	2009-10-02
13	0	2009-10-02
16	6	2009-10-02
17	3	2009-10-02
18	3	2009-10-02
3	13	2009-10-02
3	13	2009-10-03
19	2	2009-10-03
19	13	2009-10-03
17	12	2009-10-03
19	20	2009-10-03
17	18	2009-10-03
21	8	2009-10-03
21	6	2009-10-03
0	20	2009-10-04
22	20	2009-10-04
19	20	2009-10-04
2	23	2009-10-04
16	20	2009-10-04
24	13	2009-10-05
18	17	2009-10-05
18	0	2009-10-05
25	3	2009-10-05
25	1	2009-10-05
25	2	2009-10-05
17	3	2009-10-05
0	20	2009-10-05
26	25	2009-10-05
2	26	2009-10-05
15	25	2009-10-05
19	0	2009-10-06
25	3	2009-10-06
26	0	2009-10-06
26	2	2009-10-06
27	25	2009-10-06
26	23	2009-10-06
26	0	2009-10-06
19	20	2009-10-06
1	3	2009-10-06
1	25	2009-10-06
25	28	2009-10-06
0	0	2009-10-07
15	26	2009-10-07
0	29	2009-10-07
28	30	2009-10-07
31	28	2009-10-07
28	32	2009-10-07
17	0	2009-10-07
26	32	2009-10-07
26	32	2009-10-07
26	3	2009-10-07
28	0	2009-10-07
19	32	2009-10-08
30	25	2009-10-08
30	1	2009-10-08
6	6	2009-10-08
4	0	2009-10-08
26	6	2009-10-08
26	2	2009-10-08
26	2	2009-10-08
33	0	2009-10-08
17	34	2009-10-08
26	30	2009-10-08
4	30	2009-10-08
33	30	2009-10-08
30	3	2009-10-09
19	33	2009-10-09
19	3	2009-10-09
0	3	2009-10-09
17	0	2009-10-09
17	3	2009-10-09
25	33	2009-10-09
25	33	2009-10-09
25	30	2009-10-09
35	3	2009-10-09
36	0	2009-10-09
37	2	2009-10-09
38	39	2009-10-09
37	26	2009-10-09
19	34	2009-10-09
38	39	2009-10-10
26	39	2009-10-10
36	0	2009-10-10
40	2	2009-10-10
17	0	2009-10-10
26	6	2009-10-10
26	26	2009-10-10
8	0	2009-10-10
19	0	2009-10-10
28	0	2009-10-10
2	30	2009-10-10
7	26	2009-10-10
41	32	2009-10-10
26	30	2009-10-10
26	30	2009-10-10
26	30	2009-10-10
42	7	2009-10-10
42	30	2009-10-10
42	30	2009-10-10
42	3	2009-10-10
43	3	2009-10-10
26	12	2009-10-11
19	44	2009-10-11
26	0	2009-10-11
26	0	2009-10-11
43	3	2009-10-11
43	19	2009-10-11
43	12	2009-10-11
25	30	2009-10-12
25	45	2009-10-12
25	46	2009-10-12
43	25	2009-10-12
47	25	2009-10-12
48	26	2009-10-12
49	50	2009-10-12
43	49	2009-10-12
51	49	2009-10-12
52	53	2009-10-12
25	49	2009-10-12
25	47	2009-10-12
1	30	2009-10-12
54	49	2009-10-12
55	53	2009-10-12
56	53	2009-10-12
43	57	2009-10-12
56	57	2009-10-12
43	25	2009-10-12
26	25	2009-10-12
30	25	2009-10-12
25	2	2009-10-12
43	25	2009-10-12
43	30	2009-10-12
18	0	2009-10-12
25	3	2009-10-12
25	58	2009-10-12
2	59	2009-10-12
0	0	2009-10-12
28	0	2009-10-12
60	34	2009-10-12
42	32	2009-10-13
42	32	2009-10-13
42	32	2009-10-13
40	25	2009-10-13
42	32	2009-10-13
42	7	2009-10-13
47	33	2009-10-13
42	61	2009-10-13
26	62	2009-10-13
43	62	2009-10-13
3	47	2009-10-13
43	0	2009-10-13
25	0	2009-10-13
25	26	2009-10-13
25	63	2009-10-13
25	43	2009-10-13
30	63	2009-10-13
2	63	2009-10-13
64	25	2009-10-13
65	25	2009-10-13
26	25	2009-10-13
47	30	2009-10-13
47	0	2009-10-13
61	0	2009-10-13
7	0	2009-10-13
7	26	2009-10-13
2	30	2009-10-13
56	0	2009-10-13
61	30	2009-10-13
7	0	2009-10-13
43	30	2009-10-13
33	0	2009-10-13
7	47	2009-10-13
7	0	2009-10-13
64	66	2009-10-13
67	0	2009-10-13
47	7	2009-10-13
26	25	2009-10-13
30	68	2009-10-13
4	68	2009-10-13
69	62	2009-10-13
43	13	2009-10-13
70	7	2009-10-13
63	68	2009-10-13
48	8	2009-10-13
70	47	2009-10-13
70	63	2009-10-13
7	47	2009-10-13
70	30	2009-10-13
40	30	2009-10-14
26	71	2009-10-14
19	71	2009-10-14
42	3	2009-10-14
70	2	2009-10-14
48	26	2009-10-14
43	69	2009-10-14
43	3	2009-10-14
72	3	2009-10-14
37	47	2009-10-14
43	47	2009-10-14
43	25	2009-10-14
7	25	2009-10-14
3	25	2009-10-14
30	25	2009-10-14
25	33	2009-10-14
25	33	2009-10-14
28	47	2009-10-14
25	30	2009-10-14
43	30	2009-10-14
28	25	2009-10-14
73	30	2009-10-14
73	70	2009-10-14
69	64	2009-10-14
28	64	2009-10-14
28	74	2009-10-14
4	25	2009-10-14
48	0	2009-10-14
75	39	2009-10-14
43	30	2009-10-14
76	8	2009-10-14
43	77	2009-10-14
26	76	2009-10-14
7	26	2009-10-14
70	26	2009-10-14
26	76	2009-10-14
4	30	2009-10-14
42	76	2009-10-14
4	78	2009-10-14
42	77	2009-10-14
25	77	2009-10-14
43	61	2009-10-14
64	76	2009-10-14
79	59	2009-10-15
80	78	2009-10-15
81	6	2009-10-15
19	74	2009-10-15
80	6	2009-10-15
82	30	2009-10-15
3	0	2009-10-15
52	6	2009-10-15
83	0	2009-10-15
83	77	2009-10-15
29	76	2009-10-15
43	47	2009-10-15
3	61	2009-10-15
37	0	2009-10-15
84	85	2009-10-15
26	85	2009-10-15
86	85	2009-10-15
87	59	2009-10-15
7	85	2009-10-15
88	70	2009-10-15
70	26	2009-10-15
89	70	2009-10-15
89	43	2009-10-15
90	0	2009-10-15
79	30	2009-10-15
43	3	2009-10-15
91	92	2009-10-15
43	48	2009-10-15
26	92	2009-10-15
0	0	2009-10-15
93	6	2009-10-15
4	91	2009-10-15
28	92	2009-10-15
43	76	2009-10-15
28	91	2009-10-15
94	2	2009-10-15
7	95	2009-10-15
93	61	2009-10-15
96	0	2009-10-15
56	30	2009-10-15
97	43	2009-10-15
3	30	2009-10-15
3	30	2009-10-15
93	43	2009-10-15
26	98	2009-10-15
89	64	2009-10-15
0	64	2009-10-15
3	98	2009-10-15
8	64	2009-10-15
4	64	2009-10-15
36	43	2009-10-15
7	99	2009-10-15
7	99	2009-10-15
42	3	2009-10-15
100	30	2009-10-15
100	77	2009-10-15
8	76	2009-10-15
7	76	2009-10-15
101	42	2009-10-15
3	42	2009-10-15
102	13	2009-10-15
100	61	2009-10-15
103	99	2009-10-15
104	30	2009-10-15
105	30	2009-10-15
106	0	2009-10-15
107	10	2009-10-15
108	70	2009-10-15
109	0	2009-10-16
108	25	2009-10-16
108	30	2009-10-16
108	63	2009-10-16
108	25	2009-10-16
110	0	2009-10-16
110	0	2009-10-16
79	109	2009-10-16
97	71	2009-10-16
97	25	2009-10-16
97	89	2009-10-16
26	0	2009-10-16
111	0	2009-10-16
97	98	2009-10-16
111	13	2009-10-16
112	0	2009-10-16
43	97	2009-10-16
113	69	2009-10-16
114	30	2009-10-16
114	0	2009-10-16
4	115	2009-10-16
83	89	2009-10-16
109	64	2009-10-16
83	30	2009-10-16
