"id","arrival_time"
"80501","1"
"86064","1"
"94912","2"
"100847","2"
"86487","3"
"86488","3"
"26569","4"
"6838","4"
"27211","5"
"9328","5"
"175","6"
"17189","6"
"76387","7"
"115139","7"
"17188","8"
"88248","8"
"12236","9"
"29701","9"
"6529","10"
"9812","10"
"40198","11"
"105073","11"
"8724","12"
"135119","12"
"51836","13"
"52701","13"
"124615","14"
"124693","14"
"837","15"
"13876","15"
"49395","16"
"61638","16"
"19693","17"
"27341","17"
"2236","18"
"3421","18"
"40425","19"
"35583","19"
"52574","20"
"36849","20"
"59330","21"
"58891","21"
"76461","22"
"17035","22"
"74452","23"
"18025","23"
"24862","24"
"102965","25"
"106656","25"
"27588","26"
"51177","26"
"101939","27"
"80658","27"
"12648","28"
"15366","28"
"1238","29"
"721","29"
"66102","30"
"64532","30"
"133617","31"
"75082","31"
"122541","32"
"122542","32"
"29","33"
"1","33"
"19851","34"
"58034","34"
"23146","35"
"59403","35"
"3978","36"
"34368","36"
"107780","37"
"108970","37"
"60456","38"
"44339","38"
"101710","39"
"102900","39"
"81202","40"
"64755","40"
"83457","41"
"78190","41"
"129008","42"
"129009","42"
"16721","43"
"19987","43"
"76502","44"
"121631","44"
"126091","45"
"42773","45"
"15488","46"
"33266","46"
"89831","47"
"90613","47"
"84892","48"
"120777","48"
"58856","49"
"65683","49"
"35725","50"
"23651","50"
"1510","51"
"1107","51"
"986","52"
"3619","52"
"78747","53"
"26366","53"
"107667","54"
"115443","54"
"57024","55"
"137122","55"
"8828","56"
"16910","56"
"101210","57"
"107799","57"
"86835","58"
"40956","59"
"86814","59"
"23054","60"
"15719","60"
"4729","61"
"4915","61"
"111026","62"
"14282","62"
"101496","63"
"134808","63"
"1353","64"
"2167","64"
"1591","65"
"26104","65"
"683","66"
"552","66"
"38793","67"
"50399","67"
"40801","68"
"22958","68"
"50456","69"
"30315","69"
"21195","70"
"135854","70"
"76802","71"
"111459","71"
"41947","72"
"4","72"
"15212","73"
"15213","73"
"31165","74"
"854","74"
"3369","75"
"5865","75"
"89739","76"
"89741","76"
"23504","77"
"23505","77"
"2923","78"
"7985","78"
"1495","79"
"13745","79"
"5814","80"
"51415","80"
"106096","81"
"114996","81"
"57528","82"
"57531","82"
"23190","83"
"77362","83"
"82455","84"
"82458","84"
"23148","85"
"72442","85"
"6892","86"
"28409","86"
"5200","87"
"2470","87"
"37449","88"
"45514","88"
"5860","89"
"27693","89"
"31567","90"
"6162","90"
"68957","91"
"71282","91"
"72644","92"
"72667","92"
"83374","93"
"93852","93"
"105217","94"
"47701","95"
"47727","95"
"104918","96"
"106843","96"
"116196","97"
"130201","97"
"2250","98"
"4679","98"
"113092","99"
"44199","100"
"661","101"
"639","101"
"122766","102"
"88813","103"
"5799","103"
"49563","104"
"49564","104"
"36959","105"
"15754","105"
"17752","106"
"82023","106"
"115164","107"
"17951","108"
"18221","109"
"71038","109"
"62618","110"
"94921","110"
"36648","111"
"6226","112"
"83387","112"
"10511","113"
"10512","113"
"92966","114"
"99215","114"
"48256","115"
"75882","115"
"103739","116"
"44057","116"
"4204","117"
"8634","117"
"19955","118"
"5657","118"
"20534","119"
"17046","119"
"77631","120"
"77632","120"
"66499","121"
"33596","122"
"14596","122"
"769","123"
"79285","123"
"10617","124"
"16322","124"
"859","125"
"761","125"
"102111","126"
"109275","126"
"65830","127"
"39862","127"
"8625","128"
"12596","128"
"80225","129"
"16765","129"
"3641","130"
"2182","130"
"11232","131"
"28647","131"
"99633","132"
"102883","132"
"25814","133"
"30305","133"
"158","134"
"73203","134"
"59199","135"
"61834","135"
"6999","136"
"7011","137"
"20805","137"
"254","138"
"749","138"
"27014","139"
"59305","139"
"94477","140"
"61597","140"
"81098","141"
"81099","141"
"73910","142"
"7190","143"
"7551","143"
"85528","144"
"77156","144"
"56064","145"
"56065","145"
"3315","146"
"60824","146"
"18356","147"
"16170","147"
"81843","148"
"81844","148"
"6458","149"
"17346","149"
"97","150"
"10291","150"
"74918","151"
"102921","151"
"125809","152"
"125810","152"
"569","153"
"30490","154"
"14225","154"
"56142","155"
"58447","155"
"119819","156"
"3598","157"
"134750","157"
"98992","158"
"102807","158"
"95","159"
"10104","159"
"55222","160"
"55223","160"
"5402","161"
"124687","162"
"29086","163"
"33103","163"
"27256","164"
"85302","164"
"93592","165"
"93277","165"
"14526","166"
"31917","166"
"7028","167"
"42077","167"
"22607","168"
"23096","168"
"52302","169"
"54181","169"
"1738","170"
"9781","171"
"20478","171"
"98234","172"
"98606","172"
"21088","173"
"37176","173"
"42125","174"
"1153","175"
"1198","175"
"34420","176"
"68825","177"
"58648","177"
"2999","178"
"1900","178"
"27975","179"
"27976","179"
"44085","180"
"4250","181"
"19715","181"
"2961","182"
"483","183"
"8564","183"
"16505","184"
"16615","184"
"6466","185"
"82725","185"
"22893","186"
"22895","186"
"15412","187"
"16142","187"
"14151","188"
"15831","188"
"97837","189"
"97838","189"
"55","190"
"1959","190"
"94585","191"
"99026","191"
"17702","192"
"63773","192"
"105280","193"
"106122","193"
"15396","194"
"1823","194"
"67622","195"
"67423","195"
"108747","196"
"99515","196"
"122448","197"
"122338","197"
"84303","198"
"12858","199"
"48960","199"
"26344","200"
"50189","201"
"80776","201"
"30947","202"
"41394","202"
"55350","203"
"57444","204"
"19362","205"
"15338","206"
"99352","206"
"12733","207"
"107515","207"
"19249","208"
"32165","208"
"17576","209"
"32589","209"
"55656","210"
"55739","210"
"109154","211"
"110619","211"
"1798","212"
"16880","212"
"26336","213"
"33541","213"
"46384","214"
"33902","214"
"2618","215"
"40503","215"
"2119","216"
"5226","216"
"124294","217"
"124440","217"
"96661","218"
"96901","218"
"1800","219"
"103867","220"
"103868","220"
"100180","221"
"45091","221"
"86100","222"
"70291","223"
"64893","223"
"16501","224"
"35819","224"
"11331","225"
"13809","225"
"110958","226"
"8872","226"
"127806","227"
"128399","227"
"9018","228"
"2650","229"
"97080","229"
"82260","230"
"7445","231"
"9438","231"
"8707","232"
"37765","233"
"38050","233"
"5644","234"
"3574","234"
"46582","235"
"64707","235"
"283","236"
"781","236"
"30364","237"
"728","237"
"2243","238"
"3440","238"
"89871","239"
"91548","240"
"46496","240"
"9000","241"
"5234","241"
"49467","242"
"49462","242"
"106322","243"
"108363","243"
"61504","244"
"40846","244"
"80230","245"
"50608","245"
"46","246"
"22145","246"
"41896","247"
"87546","247"
"118544","248"
"115668","248"
"93597","249"
"93615","249"
"1655","250"
"31291","251"
"28680","252"
"28655","252"
"4390","253"
"52826","253"
"108782","254"
"79307","255"
"29772","256"
"28457","256"
"82127","257"
"59384","257"
"17824","258"
"111826","259"
"117488","259"
"27931","260"
"103928","260"
"25424","261"
"2797","261"
"21269","262"
"33980","262"
"19502","263"
"19978","263"
"103297","264"
"103294","264"
"90786","265"
"62494","266"
"124473","267"
"29510","267"
"412","268"
"181","268"
"38861","269"
"5125","269"
"85259","270"
"243","271"
"1163","271"
"46187","272"
"104313","272"
"130665","273"
"131035","273"
"7631","274"
"12830","274"
"109172","275"
"133387","275"
"304","276"
"561","276"
"30349","277"
"21183","277"
"1288","278"
"83197","279"
"4192","280"
"51517","280"
"5660","281"
"7374","281"
"22602","282"
"23391","282"
"17152","283"
"76187","283"
"43612","284"
"15765","285"
"2405","285"
"68020","286"
"88310","286"
"2189","287"
"2536","287"
"0","288"
"378","288"
"2349","289"
"22385","289"
"38456","290"
"38457","290"
"79579","291"
"23730","291"
"22421","292"
"22574","292"
"272","293"
"87609","294"
"46412","295"
"47772","295"
"71068","296"
"9998","296"
"19421","297"
"19400","297"
"11357","298"
"34826","298"
"88509","299"
"61993","299"
"132250","300"
"132247","300"
"18493","301"
"2325","302"
"33355","303"
"67027","304"
"58504","304"
"16241","305"
"3040","306"
"1159","306"
"60415","307"
"75613","307"
"11112","308"
"19501","308"
"96245","309"
"36741","310"
"64847","310"
"36282","311"
"61971","311"
"12149","312"
"1575","312"
"14450","313"
"14686","313"
"104994","314"
"65780","314"
"40705","315"
"40706","315"
"64611","316"
"55110","316"
"98759","317"
"87862","317"
"129471","318"
"93622","318"
"116","319"
"30","319"
"3224","320"
"2963","320"
"78744","321"
"85011","321"
"3604","322"
"3375","322"
"2599","323"
"9874","323"
"84586","324"
"85471","324"
"21997","325"
"21623","325"
"28257","326"
"20209","326"
"72561","327"
"40191","327"
"39570","328"
"23253","328"
"131977","329"
"121092","330"
"103309","330"
"85199","331"
"85200","331"
"17865","332"
"116675","333"
"116680","333"
"19748","334"
"19749","334"
"52663","335"
"53265","335"
"35395","336"
"22006","337"
"57354","337"
"20440","338"
"9273","339"
"86623","340"
"86624","340"
"114860","341"
"98342","342"
"8043","342"
"96603","343"
"131410","343"
"52824","344"
"52573","344"
"24545","345"
"31496","345"
"88360","346"
"91109","346"
"102797","347"
"92106","347"
"29959","348"
"13784","348"
"6271","349"
"5747","349"
"9939","350"
"62753","351"
"87197","351"
"26792","353"
"45992","353"
"112380","354"
"3775","354"
"65530","355"
"19103","355"
"1281","356"
"1139","356"
"20861","357"
"30386","358"
"29507","358"
"94686","359"
"72426","360"
"113931","360"
"8252","361"
"479","362"
"368","362"
"42810","363"
"70116","363"
"9123","364"
"129549","364"
"67150","365"
"78560","365"
"95876","366"
"8849","367"
"2632","367"
"39597","368"
"88","369"
"49583","369"
"31","370"
"879","370"
"19743","371"
"36678","371"
"73518","372"
"20241","372"
"9517","374"
"2872","374"
"32400","375"
"96490","375"
"12786","376"
"10272","376"
"32783","377"
"47378","377"
"74916","378"
"1642","378"
"1476","379"
"20572","379"
"4762","380"
"3360","380"
"30794","381"
"30945","381"
"63114","382"
"3226","383"
"25826","383"
"45573","384"
"39330","384"
"134424","385"
"127105","385"
"5139","387"
"54567","387"
"30532","388"
"129590","388"
"64219","389"
"87659","389"
"498","390"
"740","390"
"12550","391"
"66963","391"
"50473","392"
"1047","392"
"112620","393"
"115621","393"
"12879","394"
"17487","394"
"70262","395"
"93610","395"
"6831","396"
"5612","396"
"110294","397"
"53720","397"
"13979","398"
"9867","398"
"10921","399"
"12068","400"
"15107","401"
"4978","401"
"37249","402"
"65488","402"
"9877","403"
"51109","403"
"32372","404"
"3946","404"
"74852","405"
"73143","405"
"90746","406"
"115972","406"
"49607","407"
"5802","407"
"58135","408"
"43078","409"
"2200","410"
"12441","411"
"993","411"
"23623","412"
"116193","413"
"116499","413"
